0	植被 保护 生态 研究 多样性 分布 植物 物种 生物 中国 地区 区域 资源 面积 变化	88, 92, 99, 186, 208, 272, 273, 276, 292, 307, 313, 384, 385, 417, 428, 466, 475, 501, 506, 507, 517, 555, 557, 590, 622, 648, 656, 659, 663, 703, 722, 736, 738, 757, 758, 759, 763, 775, 788, 790, 796, 822, 840, 883, 887, 896, 915, 923, 941, 945, 952, 961, 968, 1023, 1085, 1100, 1109, 1112, 1113, 1129, 1138, 1140, 1148, 1177, 1185, 1186, 1234, 1250, 1280, 1307, 1308, 1335, 1337, 1354, 1371, 1402, 1419, 1427, 1459, 1467, 1474, 1479, 1480, 1520, 1527, 1529, 1571, 1604, 1607, 1608, 1644, 1680
1	in of mm and long the to gynura cm 12 from or bohlin 花粉 10	195, 196, 317, 432, 482, 499, 553, 857, 931, 932, 933, 934, 935, 1041, 1086, 1091, 1108, 1132, 1394, 1501
2	水体 环境 研究 浮游植物 海洋 种类 群落 指数 采样 in 生物量 优势 of 分布 浮游	12, 14, 39, 40, 94, 106, 108, 113, 114, 115, 130, 132, 197, 201, 202, 203, 204, 206, 207, 214, 252, 274, 277, 285, 286, 289, 293, 302, 303, 318, 387, 419, 420, 421, 519, 683, 691, 692, 712, 733, 755, 765, 777, 782, 787, 791, 821, 847, 848, 849, 850, 864, 877, 879, 897, 899, 970, 971, 972, 1026, 1028, 1029, 1030, 1065, 1089, 1103, 1118, 1184, 1193, 1203, 1215, 1230, 1309, 1355, 1356, 1436, 1437, 1438, 1574, 1640, 1641, 1647
3	蛋白质 结构 模型 研究 分子 dna 系统 荧光 作用 方法 生物 过程 相互作用 运动 实验	0, 24, 97, 103, 146, 147, 164, 165, 176, 179, 222, 223, 228, 282, 343, 364, 371, 373, 392, 408, 429, 431, 452, 478, 479, 487, 490, 497, 498, 509, 511, 536, 556, 601, 677, 688, 724, 751, 752, 773, 801, 809, 818, 819, 830, 856, 882, 909, 921, 928, 966, 967, 993, 1024, 1048, 1052, 1053, 1059, 1078, 1099, 1122, 1127, 1168, 1298, 1299, 1312, 1408, 1477, 1537, 1544, 1561, 1582, 1613, 1628, 1630, 1635, 1638, 1661
4	基因 序列 dna pcr 分析 基因组 研究 扩增 引物 测序 位点 技术 遗传 克隆 分子	16, 19, 37, 48, 49, 50, 52, 53, 54, 55, 58, 59, 66, 67, 101, 111, 138, 140, 170, 190, 210, 328, 340, 348, 358, 360, 365, 366, 367, 397, 463, 485, 488, 493, 514, 572, 575, 584, 585, 618, 623, 641, 649, 770, 785, 825, 836, 841, 869, 876, 898, 930, 956, 999, 1016, 1033, 1047, 1070, 1080, 1166, 1211, 1213, 1228, 1255, 1256, 1268, 1282, 1294, 1330, 1333, 1336, 1342, 1349, 1380, 1411, 1433, 1434, 1435, 1465, 1473, 1476, 1498, 1502, 1513, 1555, 1560, 1562, 1585, 1624, 1663, 1671, 1682, 1683
5	病毒 基因 感染 分离 耐药 virus 毒株 检测 of 免疫 菌株 抗原 蛋白 疫苗 序列	72, 81, 84, 120, 121, 122, 127, 131, 153, 157, 188, 216, 218, 243, 381, 399, 400, 402, 403, 404, 454, 469, 472, 473, 486, 527, 531, 535, 540, 541, 542, 545, 546, 547, 559, 560, 566, 567, 568, 569, 570, 573, 578, 579, 580, 582, 583, 587, 588, 607, 610, 616, 617, 624, 625, 627, 628, 629, 632, 636, 637, 638, 639, 640, 644, 645, 646, 652, 653, 664, 675, 699, 743, 746, 813, 816, 824, 828, 886, 950, 983, 1005, 1006, 1008, 1009, 1011, 1012, 1013, 1014, 1015, 1017, 1018, 1054, 1081, 1117, 1153, 1179, 1180, 1202, 1209, 1247, 1263, 1285, 1287, 1288, 1289, 1290, 1291, 1315, 1317, 1318, 1319, 1320, 1323, 1326, 1332, 1334, 1339, 1345, 1360, 1372, 1374, 1375, 1376, 1383, 1384, 1385, 1390, 1391, 1398, 1407, 1410, 1450, 1451, 1452, 1469, 1486, 1487, 1489, 1490, 1491, 1494, 1495, 1507, 1512, 1551, 1552, 1586, 1587, 1590, 1650, 1656, 1676, 1677
6	表达 蛋白 重组 基因 质粒 载体 pcr 构建 细胞 诱导 克隆 dna 鉴定 纯化 片段	20, 30, 56, 57, 60, 62, 63, 64, 65, 69, 70, 71, 123, 124, 141, 143, 158, 162, 169, 187, 198, 226, 231, 232, 233, 238, 239, 240, 242, 244, 246, 269, 329, 330, 331, 332, 333, 334, 335, 339, 347, 349, 350, 351, 352, 354, 356, 357, 359, 361, 362, 374, 376, 377, 378, 379, 380, 406, 438, 449, 450, 457, 467, 468, 532, 533, 534, 561, 562, 565, 571, 593, 599, 600, 619, 626, 633, 635, 643, 650, 651, 678, 714, 720, 729, 731, 740, 778, 786, 806, 807, 859, 891, 906, 918, 937, 957, 1010, 1025, 1032, 1069, 1071, 1121, 1157, 1158, 1210, 1212, 1221, 1227, 1232, 1257, 1264, 1278, 1286, 1302, 1316, 1321, 1343, 1346, 1351, 1352, 1373, 1379, 1414, 1415, 1443, 1444, 1462, 1463, 1468, 1488, 1492, 1493, 1496, 1499, 1500, 1508, 1510, 1542, 1543, 1546, 1550, 1553, 1554, 1569, 1592, 1599, 1600, 1617, 1619, 1620, 1622, 1632, 1648, 1651, 1652, 1653, 1655, 1658
7	标本 昆虫 中国 分布 研究 采集 种类 分类学 云南 记录 新种 形态 北京 背板 特征	2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 21, 192, 382, 395, 396, 425, 433, 434, 435, 456, 500, 592, 615, 706, 764, 774, 831, 832, 844, 854, 880, 881, 885, 955, 1036, 1037, 1094, 1147, 1150, 1161, 1266, 1269, 1270, 1271, 1324, 1361, 1363, 1365, 1367, 1370, 1405, 1471, 1506, 1533, 1575, 1606, 1611, 1615, 1616, 1621, 1623, 1637, 1642, 1672, 1673
9	动物 化石 研究 食物 生物 发现 遗迹 繁殖 花粉 发育 环境 观察 幼虫 个体 分布	17, 75, 77, 93, 110, 112, 128, 171, 172, 177, 178, 182, 249, 257, 258, 275, 281, 299, 301, 314, 436, 496, 614, 702, 730, 749, 771, 802, 808, 811, 845, 852, 853, 855, 866, 867, 893, 894, 895, 946, 973, 974, 1001, 1002, 1027, 1045, 1090, 1172, 1188, 1194, 1214, 1253, 1265, 1272, 1273, 1283, 1300, 1310, 1311, 1366, 1382, 1400, 1401, 1406, 1409, 1413, 1417, 1423, 1424, 1425, 1428, 1447, 1464, 1484, 1485, 1563, 1597, 1598, 1610, 1631, 1660, 1679, 1684
10	植物 土壤 含量 胁迫 生长 影响 叶片 研究 植株 增加 plant 浓度 叶绿素 吸收 环境	31, 33, 43, 89, 96, 102, 105, 129, 149, 212, 219, 259, 260, 279, 284, 287, 288, 294, 297, 298, 369, 386, 410, 414, 415, 418, 491, 504, 522, 525, 528, 558, 596, 687, 698, 701, 715, 723, 735, 760, 762, 783, 789, 792, 793, 798, 863, 870, 878, 954, 959, 978, 979, 991, 994, 995, 996, 998, 1031, 1049, 1062, 1067, 1083, 1084, 1088, 1106, 1119, 1151, 1152, 1205, 1206, 1207, 1222, 1224, 1225, 1242, 1249, 1252, 1254, 1259, 1261, 1284, 1296, 1340, 1504, 1514, 1515, 1535, 1545, 1547, 1549, 1557, 1564, 1570, 1580, 1583, 1594, 1602, 1614, 1639, 1659
