0	构造 断裂 矿体 矿区 地质 特征 控制 地层 金矿 发育 成矿 破碎 找矿 分布 区域	0, 4, 10, 12, 13, 15, 16, 20, 26, 32, 37, 42, 47, 50, 51, 53, 63, 64, 65, 75, 82, 87, 88, 89, 91, 93, 95, 100, 101, 102, 103, 104, 189, 190, 192, 193, 194, 196, 226, 227, 230, 235, 236, 237, 241, 246, 248, 258, 265, 268, 273, 278, 307, 309, 310, 314, 315, 335, 339, 340, 342, 346, 355, 356, 385, 391, 392, 393, 394, 395, 397, 402, 404, 405, 426, 427, 437, 438, 446, 454, 456, 473, 478, 480, 488, 494, 496, 501, 516, 517, 525, 528, 529, 530, 532, 533, 534, 536, 547, 565, 568, 569, 570, 578, 586, 588, 597, 598, 607, 610, 615, 617, 671, 675, 682, 691, 694, 698, 716, 718, 719, 723, 725, 726, 727, 728, 730, 733, 769, 773, 784, 793, 798, 799, 803, 806, 810, 817, 818, 820, 824, 826, 860, 861, 862, 864, 870, 873, 878, 879, 880, 886, 887, 895, 897, 901, 910, 918, 919, 932, 935, 937, 938, 939, 940, 941, 945, 949, 952, 955, 961, 963, 972, 973, 974, 976, 977, 1028, 1030, 1035, 1041, 1068, 1070, 1072, 1073, 1077, 1079, 1080, 1081, 1103, 1106, 1114, 1115, 1121, 1127, 1128, 1133, 1134, 1138, 1139, 1143, 1144, 1145, 1146, 1150, 1151, 1154, 1163, 1166, 1169, 1171, 1176, 1179, 1217, 1218, 1239, 1247, 1257, 1258, 1259, 1261, 1262, 1263, 1265, 1266, 1267, 1271, 1276, 1281, 1282, 1285, 1292, 1297, 1302, 1308, 1309, 1310, 1314, 1317, 1318, 1322, 1323, 1384, 1388, 1398, 1404, 1408, 1411, 1418, 1420, 1421, 1429, 1431, 1436, 1440, 1448, 1449, 1452, 1457, 1464, 1485, 1511, 1516, 1517, 1519, 1524, 1533, 1535, 1555, 1563, 1576, 1593, 1606, 1610, 1619, 1620, 1630, 1638, 1645, 1646, 1647, 1650, 1653, 1654, 1656, 1657, 1664, 1668, 1669, 1671, 1672, 1675
1	构造 成矿 金矿 矿床 剪切 作用 韧性 地质 地区 岩浆 研究 变质 变形 花岗岩 活动	9, 18, 27, 30, 31, 41, 84, 85, 86, 105, 106, 172, 173, 176, 191, 197, 224, 245, 249, 302, 326, 382, 399, 455, 490, 492, 539, 559, 571, 603, 673, 678, 679, 690, 701, 729, 789, 871, 874, 877, 893, 915, 921, 931, 957, 971, 1040, 1057, 1071, 1078, 1124, 1140, 1149, 1152, 1158, 1164, 1214, 1226, 1236, 1255, 1287, 1298, 1319, 1424, 1435, 1451, 1459, 1481, 1488, 1507, 1566, 1570, 1573, 1608, 1628, 1634, 1637, 1644, 1676
2	矿体 金矿 矿床 深部 成矿 地质 断裂 品位 矿脉 胶东 构造 预测 矿化 矿区 玲珑	28, 59, 69, 72, 74, 79, 96, 167, 169, 203, 232, 261, 274, 276, 300, 303, 308, 322, 330, 336, 359, 360, 425, 468, 495, 541, 546, 558, 561, 562, 564, 601, 619, 672, 706, 781, 790, 792, 811, 813, 858, 875, 911, 926, 928, 933, 958, 959, 964, 1048, 1064, 1082, 1102, 1105, 1116, 1117, 1153, 1159, 1172, 1215, 1227, 1238, 1275, 1303, 1316, 1355, 1383, 1486, 1528, 1571, 1582, 1583, 1592, 1623, 1626, 1648, 1649, 1652
3	斑岩 花岗岩 岩体 锆石 岩浆 pb 闪长岩 岩石 特征 年龄 地球化学 ma 地质 稀土元素 花岗	34, 38, 46, 62, 78, 90, 108, 195, 198, 200, 247, 250, 266, 319, 348, 350, 401, 423, 424, 499, 500, 581, 688, 722, 768, 872, 951, 954, 965, 966, 978, 1034, 1065, 1175, 1235, 1288, 1289, 1312, 1315, 1406, 1417, 1428, 1430, 1445, 1462, 1465, 1478, 1641
4	金矿 沉积 地层 砂岩 地质 灰岩 板岩 构造 盆地 秦岭 成矿 背斜 硅质 地区 卡林型	36, 43, 94, 252, 275, 323, 388, 440, 441, 479, 567, 572, 696, 703, 711, 732, 766, 802, 805, 812, 885, 892, 906, 960, 1051, 1053, 1123, 1135, 1141, 1148, 1223, 1244, 1300, 1480, 1506, 1508, 1545, 1552, 1611, 1635, 1636, 1643, 1655, 1667
5	流体 包裹 成矿 石英 矿床 阶段 同位素 温度 co2 热液 盐度 金矿 研究 特征 h2o	14, 23, 45, 220, 225, 240, 254, 257, 270, 304, 305, 321, 418, 428, 442, 445, 466, 467, 475, 493, 520, 523, 544, 545, 551, 552, 553, 584, 608, 683, 684, 704, 721, 783, 854, 884, 889, 917, 920, 947, 1118, 1119, 1120, 1125, 1234, 1237, 1250, 1269, 1395, 1414, 1437, 1441, 1450, 1463, 1510, 1512, 1527, 1562, 1565, 1613, 1614, 1615, 1663, 1665, 1666
6	方法 分析 数据 样品 模型 研究 计算 评价 地质 测定 指标 金矿 提取 采用 影响	60, 107, 147, 206, 272, 357, 362, 375, 379, 390, 403, 406, 419, 450, 469, 471, 497, 549, 576, 614, 645, 680, 710, 712, 713, 714, 739, 777, 808, 825, 936, 989, 1056, 1075, 1087, 1097, 1131, 1177, 1207, 1216, 1299, 1305, 1359, 1366, 1377, 1385, 1403, 1415, 1422, 1427, 1434, 1444, 1466, 1471, 1515, 1523, 1532, 1558, 1564, 1621, 1624, 1633, 1662
7	异常 元素 au 地球化学 as ag sb cu 特征 矿体 pb 10 zn 金矿 成矿	24, 35, 66, 182, 184, 186, 229, 256, 267, 324, 349, 353, 421, 485, 489, 518, 537, 574, 579, 580, 618, 670, 720, 724, 780, 791, 816, 819, 890, 891, 953, 962, 981, 1043, 1044, 1108, 1112, 1136, 1142, 1147, 1165, 1168, 1213, 1219, 1242, 1245, 1246, 1249, 1254, 1307, 1313, 1400, 1416, 1443, 1509, 1513, 1514, 1551, 1575, 1588, 1600, 1607, 1627
9	黄铁矿 矿床 矿物 金矿 au 含量 研究 特征 阶段 毒砂 fe as 热电 热液 硫化物	22, 76, 97, 202, 221, 253, 271, 327, 439, 444, 448, 451, 474, 542, 543, 554, 555, 674, 685, 687, 689, 709, 776, 778, 821, 822, 865, 866, 922, 927, 980, 1063, 1126, 1155, 1173, 1225, 1243, 1389, 1392, 1393, 1407, 1413, 1461, 1569, 1604, 1639
10	异常 地质 电阻率 极化 工作 方法 钻孔 钻探 测量 激电 矿区 钻进 物探 地层 测深	49, 58, 73, 168, 188, 201, 205, 238, 239, 259, 328, 337, 341, 361, 378, 477, 484, 498, 513, 538, 557, 593, 604, 611, 612, 613, 702, 715, 767, 772, 787, 788, 815, 830, 903, 904, 905, 908, 925, 929, 970, 1039, 1059, 1066, 1074, 1076, 1092, 1167, 1174, 1229, 1252, 1260, 1268, 1280, 1283, 1284, 1401, 1419, 1425, 1453, 1454, 1460, 1467, 1487, 1525, 1556, 1574
